Gene_Symbol	Gene_ID	 PCC
DBF4P1	ENSG00000235489.4	0.83
BUB1	ENSG00000169679.14	0.75
STIL	ENSG00000123473.15	0.72
KIF11	ENSG00000138160.5	0.71
SGOL1	ENSG00000129810.14	0.71
SGOL2	ENSG00000163535.17	0.71
RACGAP1	ENSG00000161800.12	0.71
GTPBP10	ENSG00000105793.15	0.70
KIF14	ENSG00000118193.11	0.70
CCNA2	ENSG00000145386.9	0.70
ARHGAP11A	ENSG00000198826.10	0.70
KIF18A	ENSG00000121621.6	0.70
XRCC2	ENSG00000196584.2	0.69
SKA3	ENSG00000165480.15	0.69
DLGAP5	ENSG00000126787.12	0.69
GSG2	ENSG00000177602.5	0.69
ZWILCH	ENSG00000174442.11	0.69
TTK	ENSG00000112742.9	0.69
NCAPG2	ENSG00000146918.19	0.68
NDC1	ENSG00000058804.11	0.68
PUS7	ENSG00000091127.13	0.68
KIF20B	ENSG00000138182.14	0.68
CKAP2L	ENSG00000169607.12	0.68
NCAPH	ENSG00000121152.9	0.67
MKI67	ENSG00000148773.12	0.67
HJURP	ENSG00000123485.11	0.67
NCAPG	ENSG00000109805.9	0.67
CENPI	ENSG00000102384.13	0.67
KIF4A	ENSG00000090889.11	0.67
TMPO	ENSG00000120802.13	0.67
KIAA1524	ENSG00000163507.13	0.67
MAD2L1	ENSG00000164109.13	0.67
TPX2	ENSG00000088325.15	0.67
PLK1	ENSG00000166851.14	0.67
SASS6	ENSG00000156876.9	0.67
KIF23	ENSG00000137807.13	0.67
HMMR	ENSG00000072571.19	0.67
MCM10	ENSG00000065328.16	0.66
ESCO2	ENSG00000171320.14	0.66
FANCI	ENSG00000140525.17	0.66
CKAP2	ENSG00000136108.14	0.66
WDR43	ENSG00000163811.11	0.66
CENPE	ENSG00000138778.11	0.66
CENPO	ENSG00000138092.10	0.66
CHEK1	ENSG00000149554.12	0.66
GTSE1	ENSG00000075218.18	0.66
DSCC1	ENSG00000136982.5	0.66
DDIAS	ENSG00000165490.12	0.65
PARPBP	ENSG00000185480.11	0.65
CENPL	ENSG00000120334.15	0.65
SKA1	ENSG00000154839.9	0.65
CCNB2	ENSG00000157456.7	0.65
CLSPN	ENSG00000092853.13	0.65
DNAJC2	ENSG00000105821.14	0.65
MCM8	ENSG00000125885.13	0.65
DEPDC1	ENSG00000024526.16	0.65
PLK4	ENSG00000142731.10	0.65
RRM2	ENSG00000171848.13	0.65
KIF2C	ENSG00000142945.12	0.65
GINS1	ENSG00000101003.9	0.64
POLR2D	ENSG00000144231.10	0.64
DTL	ENSG00000143476.17	0.64
INCENP	ENSG00000149503.12	0.64
KIF18B	ENSG00000186185.13	0.64
SUV39H2	ENSG00000152455.15	0.64
EXO1	ENSG00000174371.16	0.64
MTFR2	ENSG00000146410.11	0.64
DNA2	ENSG00000138346.14	0.64
CCNF	ENSG00000162063.12	0.64
ASPM	ENSG00000066279.16	0.64
LIN9	ENSG00000183814.15	0.64
CDCA5	ENSG00000146670.9	0.64
TICRR	ENSG00000140534.13	0.64
MCM4	ENSG00000104738.16	0.64
EZH2	ENSG00000106462.10	0.63
NUSAP1	ENSG00000137804.12	0.63
SPC25	ENSG00000152253.8	0.63
BORA	ENSG00000136122.15	0.63
MMS22L	ENSG00000146263.11	0.63
PRPF40A	ENSG00000196504.15	0.63
ESPL1	ENSG00000135476.11	0.63
RFWD3	ENSG00000168411.13	0.63
AURKA	ENSG00000087586.17	0.63
MELK	ENSG00000165304.7	0.63
BRCA1	ENSG00000012048.19	0.63
CENPA	ENSG00000115163.14	0.63
ERCC6L	ENSG00000186871.6	0.63
URB2	ENSG00000135763.9	0.63
OIP5	ENSG00000104147.8	0.63
ECT2	ENSG00000114346.13	0.63
RAD51AP1	ENSG00000111247.14	0.63
FIGNL1	ENSG00000132436.11	0.62
CENPF	ENSG00000117724.12	0.62
CEP55	ENSG00000138180.15	0.62
FOXM1	ENSG00000111206.12	0.62
LMNB1	ENSG00000113368.11	0.62
AUNIP	ENSG00000127423.10	0.62
CDK1	ENSG00000170312.15	0.62
GART	ENSG00000159131.16	0.62
RFC3	ENSG00000133119.12	0.62
